,Roughness,id,initial_state
100,0.1875,No Extinction,random
101,0.230769231,No Extinction,random
102,0.388888889,No Extinction,random
103,0.555555556,No Extinction,random
104,0.1875,No Extinction,random
105,0.470588235,No Extinction,random
106,0.142857143,No Extinction,random
107,0.210526316,No Extinction,random
108,0,No Extinction,random
109,0.1,No Extinction,random
110,0.266666667,No Extinction,random
111,0.214285714,No Extinction,random
112,0.2,No Extinction,random
113,0.230769231,No Extinction,random
114,0.058823529,No Extinction,random
115,0.125,No Extinction,random
116,0.333333333,No Extinction,random
117,0.076923077,No Extinction,random
118,0.230769231,No Extinction,random
119,0.076923077,No Extinction,random
120,0.181818182,No Extinction,random
121,0.285714286,No Extinction,random
122,0.1875,No Extinction,random
123,0.066666667,No Extinction,random
124,0.476190476,No Extinction,random
125,0.2,No Extinction,random
126,0.2,No Extinction,random
127,0,No Extinction,random
128,0.588235294,No Extinction,random
129,0.166666667,No Extinction,random
130,0.111111111,No Extinction,random
131,0.214285714,No Extinction,random
132,0.076923077,No Extinction,random
133,0.608695652,No Extinction,random
134,0.111111111,No Extinction,random
135,0.25,No Extinction,random
136,0.214285714,No Extinction,random
137,0.266666667,No Extinction,random
138,0.142857143,No Extinction,random
139,0.333333333,No Extinction,random
140,0.166666667,No Extinction,random
141,0.3125,No Extinction,random
142,0,No Extinction,random
143,0.153846154,No Extinction,random
144,0.277777778,No Extinction,random
145,0.142857143,No Extinction,random
146,0.125,No Extinction,random
147,0.111111111,No Extinction,random
148,0.090909091,No Extinction,random
149,0.181818182,No Extinction,random
150,0.571428571,No Extinction,random
151,0.090909091,No Extinction,random
152,0,No Extinction,random
153,0.153846154,No Extinction,random
154,0.235294118,No Extinction,random
155,0.142857143,No Extinction,random
156,0.166666667,No Extinction,random
157,0.166666667,No Extinction,random
158,0.181818182,No Extinction,random
159,0.222222222,No Extinction,random
160,0.352941176,No Extinction,random
161,0.071428571,No Extinction,random
162,0.142857143,No Extinction,random
163,0.1875,No Extinction,random
164,0.222222222,No Extinction,random
165,0.588235294,No Extinction,random
166,0.090909091,No Extinction,random
167,0.066666667,No Extinction,random
168,0.166666667,No Extinction,random
169,0.181818182,No Extinction,random
170,0.142857143,No Extinction,random
171,0.2,No Extinction,random
172,0.066666667,No Extinction,random
173,0.833333333,No Extinction,random
174,0.133333333,No Extinction,random
175,0.166666667,No Extinction,random
176,0.153846154,No Extinction,random
177,0,No Extinction,random
178,0.35,No Extinction,random
179,0,No Extinction,random
180,0.6,No Extinction,random
181,0.461538462,No Extinction,random
182,0.45,No Extinction,random
183,0,No Extinction,random
184,0.0625,No Extinction,random
185,0.153846154,No Extinction,random
186,0.071428571,No Extinction,random
187,0,No Extinction,random
188,0,No Extinction,random
189,0.166666667,No Extinction,random
190,0.133333333,No Extinction,random
191,0.1875,No Extinction,random
192,0.153846154,No Extinction,random
193,0.222222222,No Extinction,random
194,0.476190476,No Extinction,random
195,0.25,No Extinction,random
196,0.2,No Extinction,random
197,0.066666667,No Extinction,random
198,0.230769231,No Extinction,random
199,0.5,No Extinction,random
200,0.272727273,Random Noise,random
201,0,Random Noise,random
202,0,Random Noise,random
203,0.333333333,Random Noise,random
204,0.333333333,Random Noise,random
205,0.222222222,Random Noise,random
206,0,Random Noise,random
207,0.142857143,Random Noise,random
208,0.076923077,Random Noise,random
209,0.090909091,Random Noise,random
210,0.083333333,Random Noise,random
211,0,Random Noise,random
212,0.2,Random Noise,random
213,0.2,Random Noise,random
214,0.125,Random Noise,random
215,0.769230769,Random Noise,random
216,0.25,Random Noise,random
217,0,Random Noise,random
218,0.166666667,Random Noise,random
219,0.222222222,Random Noise,random
220,0.181818182,Random Noise,random
221,0.583333333,Random Noise,random
222,0.5,Random Noise,random
223,0.538461538,Random Noise,random
224,0.222222222,Random Noise,random
225,0.272727273,Random Noise,random
226,0,Random Noise,random
227,0,Random Noise,random
228,0.166666667,Random Noise,random
229,0.111111111,Random Noise,random
230,0,Random Noise,random
231,0.090909091,Random Noise,random
232,0,Random Noise,random
233,0,Random Noise,random
234,0.2,Random Noise,random
235,0,Random Noise,random
236,0.2,Random Noise,random
237,0.272727273,Random Noise,random
238,0,Random Noise,random
239,0.222222222,Random Noise,random
240,0,Random Noise,random
241,0.111111111,Random Noise,random
242,0,Random Noise,random
243,0.076923077,Random Noise,random
244,0,Random Noise,random
245,0.090909091,Random Noise,random
246,0.222222222,Random Noise,random
247,0.333333333,Random Noise,random
248,0.25,Random Noise,random
249,0.153846154,Random Noise,random
250,0,Random Noise,random
251,0.285714286,Random Noise,random
252,0,Random Noise,random
253,0.111111111,Random Noise,random
254,0,Random Noise,random
255,0.222222222,Random Noise,random
256,0.428571429,Random Noise,random
257,0.416666667,Random Noise,random
258,0.222222222,Random Noise,random
259,0,Random Noise,random
260,0.25,Random Noise,random
261,0.333333333,Random Noise,random
262,0.111111111,Random Noise,random
263,0.181818182,Random Noise,random
264,0.5,Random Noise,random
265,0,Random Noise,random
266,0.181818182,Random Noise,random
267,0.333333333,Random Noise,random
268,0.083333333,Random Noise,random
269,0.1,Random Noise,random
270,0.222222222,Random Noise,random
271,0.181818182,Random Noise,random
272,0.0625,Random Noise,random
273,0.666666667,Random Noise,random
274,0.1,Random Noise,random
275,0.1,Random Noise,random
276,0.428571429,Random Noise,random
277,0.230769231,Random Noise,random
278,0.25,Random Noise,random
279,0.181818182,Random Noise,random
280,0.1,Random Noise,random
281,0,Random Noise,random
282,0.214285714,Random Noise,random
283,0.166666667,Random Noise,random
284,0.272727273,Random Noise,random
285,0.111111111,Random Noise,random
286,0.25,Random Noise,random
287,0.1,Random Noise,random
288,0.625,Random Noise,random
289,0.3,Random Noise,random
290,0.2,Random Noise,random
291,0.111111111,Random Noise,random
292,0,Random Noise,random
293,0.25,Random Noise,random
294,0,Random Noise,random
295,0.538461538,Random Noise,random
296,0.2,Random Noise,random
297,0.263157895,Random Noise,random
298,0.125,Random Noise,random
299,0,Random Noise,random
