,Roughness,id,initial_state
17,0.176470588,No Extinction,constant
18,0.285714286,No Extinction,constant
19,0.25,No Extinction,constant
40,0.277777778,No Extinction,constant
41,0.4,No Extinction,constant
42,0.315789474,No Extinction,constant
43,0.117647059,No Extinction,constant
44,0.166666667,No Extinction,constant
45,0.277777778,No Extinction,constant
46,0.25,No Extinction,constant
47,0.55,No Extinction,constant
48,0.315789474,No Extinction,constant
49,0.166666667,No Extinction,constant
70,0.611111111,No Extinction,constant
71,0.4,No Extinction,constant
72,0.272727273,No Extinction,constant
73,0.375,No Extinction,constant
74,0.166666667,No Extinction,constant
75,0.357142857,No Extinction,constant
76,0.384615385,No Extinction,constant
77,0.25,No Extinction,constant
78,0.214285714,No Extinction,constant
79,0.705882353,No Extinction,constant
100,0.294117647,No Extinction,constant
101,0.210526316,No Extinction,constant
102,0.333333333,No Extinction,constant
103,0.235294118,No Extinction,constant
104,0.176470588,No Extinction,constant
105,0.125,No Extinction,constant
106,0.333333333,No Extinction,constant
107,0.4,No Extinction,constant
108,0.352941176,No Extinction,constant
109,0.25,No Extinction,constant
130,0.3125,No Extinction,constant
131,0.444444444,No Extinction,constant
132,0.133333333,No Extinction,constant
133,0.592592593,No Extinction,constant
134,0.1875,No Extinction,constant
135,0.294117647,No Extinction,constant
136,0.125,No Extinction,constant
137,0.133333333,No Extinction,constant
138,0.352941176,No Extinction,constant
139,0.368421053,No Extinction,constant
160,0.277777778,No Extinction,constant
161,0.277777778,No Extinction,constant
162,0.277777778,No Extinction,constant
163,0.277777778,No Extinction,constant
164,0.277777778,No Extinction,constant
165,0.235294118,No Extinction,constant
166,0.235294118,No Extinction,constant
167,0.166666667,No Extinction,constant
168,0.210526316,No Extinction,constant
169,0.294117647,No Extinction,constant
190,0.473684211,No Extinction,constant
191,0.176470588,No Extinction,constant
192,0.619047619,No Extinction,constant
193,0.473684211,No Extinction,constant
194,0.3,No Extinction,constant
195,0.294117647,No Extinction,constant
196,0.176470588,No Extinction,constant
197,0.294117647,No Extinction,constant
198,0.333333333,No Extinction,constant
199,0.368421053,No Extinction,constant
220,0.294117647,No Extinction,constant
221,0.526315789,No Extinction,constant
222,0.2,No Extinction,constant
223,0.428571429,No Extinction,constant
224,0.333333333,No Extinction,constant
225,0.294117647,No Extinction,constant
226,0.470588235,No Extinction,constant
227,0.3125,No Extinction,constant
228,0.1875,No Extinction,constant
229,0.352941176,No Extinction,constant
250,0.666666667,No Extinction,constant
251,0.375,No Extinction,constant
252,0.2,No Extinction,constant
253,0.2,No Extinction,constant
254,0.181818182,No Extinction,constant
255,0.181818182,No Extinction,constant
256,0.363636364,No Extinction,constant
257,0.714285714,No Extinction,constant
258,0.363636364,No Extinction,constant
259,0.166666667,No Extinction,constant
280,0.545454545,No Extinction,constant
281,0.25,No Extinction,constant
282,0.277777778,No Extinction,constant
283,0.409090909,No Extinction,constant
284,0.117647059,No Extinction,constant
285,0.294117647,No Extinction,constant
286,0.352941176,No Extinction,constant
287,0.277777778,No Extinction,constant
288,0.166666667,No Extinction,constant
289,0.176470588,No Extinction,constant
0,0.375,Extinction,constant
1,0.526315789,Extinction,constant
2,0.529411765,Extinction,constant
3,0.352941176,Extinction,constant
4,0.388888889,Extinction,constant
5,0.235294118,Extinction,constant
6,0.5,Extinction,constant
7,0.588235294,Extinction,constant
8,0.230769231,Extinction,constant
9,0.375,Extinction,constant
30,0.3,Extinction,constant
31,0.294117647,Extinction,constant
32,0.352941176,Extinction,constant
33,0.368421053,Extinction,constant
34,0.352941176,Extinction,constant
35,0.263157895,Extinction,constant
36,0.294117647,Extinction,constant
37,0.235294118,Extinction,constant
38,0.333333333,Extinction,constant
39,0.384615385,Extinction,constant
60,0.571428571,Extinction,constant
61,0.6,Extinction,constant
62,0.625,Extinction,constant
63,0.625,Extinction,constant
64,0.4,Extinction,constant
65,0.529411765,Extinction,constant
66,0.666666667,Extinction,constant
67,0.375,Extinction,constant
68,0.384615385,Extinction,constant
69,0.6,Extinction,constant
90,0.266666667,Extinction,constant
91,0.153846154,Extinction,constant
92,0.352941176,Extinction,constant
93,0.285714286,Extinction,constant
94,0.736842105,Extinction,constant
95,0.333333333,Extinction,constant
96,0.285714286,Extinction,constant
97,0.142857143,Extinction,constant
98,0.133333333,Extinction,constant
99,0.470588235,Extinction,constant
120,0.315789474,Extinction,constant
121,0.117647059,Extinction,constant
122,0.263157895,Extinction,constant
123,0.294117647,Extinction,constant
124,0.166666667,Extinction,constant
125,0.571428571,Extinction,constant
126,0.157894737,Extinction,constant
127,0.458333333,Extinction,constant
128,0.166666667,Extinction,constant
129,0.315789474,Extinction,constant
150,0.277777778,Extinction,constant
151,0.380952381,Extinction,constant
152,0.5,Extinction,constant
153,0.210526316,Extinction,constant
154,0.35,Extinction,constant
155,0.166666667,Extinction,constant
156,0.25,Extinction,constant
157,0.318181818,Extinction,constant
158,0.277777778,Extinction,constant
159,0.25,Extinction,constant
180,0.375,Extinction,constant
181,0.352941176,Extinction,constant
182,0.3125,Extinction,constant
183,0.619047619,Extinction,constant
184,0.526315789,Extinction,constant
185,0.285714286,Extinction,constant
186,0.266666667,Extinction,constant
187,0.230769231,Extinction,constant
188,0.277777778,Extinction,constant
189,0.6,Extinction,constant
210,0.1875,Extinction,constant
211,0.555555556,Extinction,constant
212,0.176470588,Extinction,constant
213,0.533333333,Extinction,constant
214,0.266666667,Extinction,constant
215,0.352941176,Extinction,constant
216,0.388888889,Extinction,constant
217,0.736842105,Extinction,constant
218,0.25,Extinction,constant
219,0.466666667,Extinction,constant
240,0.363636364,Extinction,constant
241,0.166666667,Extinction,constant
242,0.333333333,Extinction,constant
243,0.2,Extinction,constant
244,0.25,Extinction,constant
245,0.333333333,Extinction,constant
246,0.363636364,Extinction,constant
247,0.2,Extinction,constant
248,0.272727273,Extinction,constant
249,0.571428571,Extinction,constant
270,0.25,Extinction,constant
271,0.555555556,Extinction,constant
272,0.3125,Extinction,constant
273,0.266666667,Extinction,constant
274,0.333333333,Extinction,constant
275,0.470588235,Extinction,constant
276,0.388888889,Extinction,constant
277,0.266666667,Extinction,constant
278,0.285714286,Extinction,constant
279,0.444444444,Extinction,constant
