,node,state,count,id,Network
5,1,2,321,Random Noise,4
6,2,0,330,Random Noise,4
7,2,1,326,Random Noise,4
8,2,2,344,Random Noise,4
9,3,0,348,Random Noise,4
10,3,1,304,Random Noise,4
11,3,2,348,Random Noise,4
12,4,0,334,Random Noise,4
13,4,1,340,Random Noise,4
14,4,2,326,Random Noise,4
15,5,0,326,Random Noise,4
16,5,1,343,Random Noise,4
17,5,2,331,Random Noise,4
0,0,0,328,Random Noise,5
1,0,1,327,Random Noise,5
2,0,2,345,Random Noise,5
3,1,0,344,Random Noise,5
4,1,1,309,Random Noise,5
5,1,2,347,Random Noise,5
6,2,0,313,Random Noise,5
7,2,1,355,Random Noise,5
8,2,2,332,Random Noise,5
9,3,0,348,Random Noise,5
10,3,1,323,Random Noise,5
11,3,2,329,Random Noise,5
12,4,0,331,Random Noise,5
13,4,1,351,Random Noise,5
14,4,2,318,Random Noise,5
15,5,0,336,Random Noise,5
16,5,1,335,Random Noise,5
17,5,2,329,Random Noise,5
0,0,0,333,Random Noise,6
1,0,1,326,Random Noise,6
2,0,2,341,Random Noise,6
3,1,0,325,Random Noise,6
4,1,1,345,Random Noise,6
5,1,2,330,Random Noise,6
6,2,0,319,Random Noise,6
7,2,1,343,Random Noise,6
8,2,2,338,Random Noise,6
9,3,0,338,Random Noise,6
10,3,1,342,Random Noise,6
11,3,2,320,Random Noise,6
12,4,0,323,Random Noise,6
13,4,1,318,Random Noise,6
14,4,2,359,Random Noise,6
15,5,0,362,Random Noise,6
16,5,1,326,Random Noise,6
17,5,2,312,Random Noise,6
0,0,0,324,Random Noise,7
1,0,1,337,Random Noise,7
2,0,2,339,Random Noise,7
3,1,0,321,Random Noise,7
4,1,1,348,Random Noise,7
5,1,2,331,Random Noise,7
6,2,0,334,Random Noise,7
7,2,1,329,Random Noise,7
8,2,2,337,Random Noise,7
9,3,0,334,Random Noise,7
10,3,1,329,Random Noise,7
11,3,2,337,Random Noise,7
12,4,0,335,Random Noise,7
13,4,1,330,Random Noise,7
14,4,2,335,Random Noise,7
15,5,0,352,Random Noise,7
16,5,1,327,Random Noise,7
17,5,2,321,Random Noise,7
0,0,0,329,Random Noise,8
1,0,1,342,Random Noise,8
2,0,2,329,Random Noise,8
3,1,0,321,Random Noise,8
4,1,1,358,Random Noise,8
5,1,2,321,Random Noise,8
6,2,0,346,Random Noise,8
7,2,1,313,Random Noise,8
8,2,2,341,Random Noise,8
9,3,0,345,Random Noise,8
10,3,1,326,Random Noise,8
11,3,2,329,Random Noise,8
12,4,0,320,Random Noise,8
13,4,1,330,Random Noise,8
14,4,2,350,Random Noise,8
15,5,0,339,Random Noise,8
16,5,1,331,Random Noise,8
17,5,2,330,Random Noise,8
0,0,0,342,Random Noise,9
1,0,1,339,Random Noise,9
2,0,2,319,Random Noise,9
3,1,0,343,Random Noise,9
4,1,1,339,Random Noise,9
5,1,2,318,Random Noise,9
6,2,0,327,Random Noise,9
7,2,1,319,Random Noise,9
8,2,2,354,Random Noise,9
9,3,0,310,Random Noise,9
10,3,1,352,Random Noise,9
11,3,2,338,Random Noise,9
12,4,0,326,Random Noise,9
13,4,1,341,Random Noise,9
14,4,2,333,Random Noise,9
15,5,0,352,Random Noise,9
16,5,1,310,Random Noise,9
17,5,2,338,Random Noise,9
0,0,0,339,Random Noise,0
1,0,1,310,Random Noise,0
2,0,2,351,Random Noise,0
3,1,0,332,Random Noise,0
4,1,1,335,Random Noise,0
5,1,2,333,Random Noise,0
6,2,0,342,Random Noise,0
7,2,1,329,Random Noise,0
8,2,2,329,Random Noise,0
9,3,0,361,Random Noise,0
10,3,1,327,Random Noise,0
11,3,2,312,Random Noise,0
12,4,0,321,Random Noise,0
13,4,1,350,Random Noise,0
14,4,2,329,Random Noise,0
15,5,0,305,Random Noise,0
16,5,1,349,Random Noise,0
17,5,2,346,Random Noise,0
0,0,0,310,Random Noise,1
1,0,1,354,Random Noise,1
2,0,2,336,Random Noise,1
3,1,0,325,Random Noise,1
4,1,1,372,Random Noise,1
5,1,2,303,Random Noise,1
6,2,0,336,Random Noise,1
7,2,1,345,Random Noise,1
8,2,2,319,Random Noise,1
9,3,0,334,Random Noise,1
10,3,1,333,Random Noise,1
11,3,2,333,Random Noise,1
12,4,0,343,Random Noise,1
13,4,1,286,Random Noise,1
14,4,2,371,Random Noise,1
15,5,0,352,Random Noise,1
16,5,1,310,Random Noise,1
17,5,2,338,Random Noise,1
0,0,0,335,Random Noise,2
1,0,1,335,Random Noise,2
2,0,2,330,Random Noise,2
3,1,0,328,Random Noise,2
4,1,1,323,Random Noise,2
5,1,2,349,Random Noise,2
6,2,0,349,Random Noise,2
7,2,1,346,Random Noise,2
8,2,2,305,Random Noise,2
9,3,0,312,Random Noise,2
10,3,1,334,Random Noise,2
11,3,2,354,Random Noise,2
12,4,0,331,Random Noise,2
13,4,1,342,Random Noise,2
14,4,2,327,Random Noise,2
15,5,0,345,Random Noise,2
16,5,1,320,Random Noise,2
17,5,2,335,Random Noise,2
0,0,0,333,Random Noise,3
1,0,1,317,Random Noise,3
2,0,2,350,Random Noise,3
3,1,0,324,Random Noise,3
4,1,1,369,Random Noise,3
5,1,2,307,Random Noise,3
6,2,0,332,Random Noise,3
7,2,1,339,Random Noise,3
8,2,2,329,Random Noise,3
9,3,0,337,Random Noise,3
10,3,1,328,Random Noise,3
11,3,2,335,Random Noise,3
12,4,0,327,Random Noise,3
13,4,1,315,Random Noise,3
14,4,2,358,Random Noise,3
15,5,0,347,Random Noise,3
16,5,1,332,Random Noise,3
17,5,2,321,Random Noise,3
0,0,0,326,Random Noise,4
1,0,1,345,Random Noise,4
2,0,2,329,Random Noise,4
3,1,0,342,Random Noise,4
4,1,1,307,Random Noise,4
5,1,2,351,Random Noise,4
6,2,0,344,Random Noise,4
7,2,1,324,Random Noise,4
8,2,2,332,Random Noise,4
9,3,0,298,Random Noise,4
10,3,1,356,Random Noise,4
11,3,2,346,Random Noise,4
12,4,0,331,Random Noise,4
13,4,1,340,Random Noise,4
14,4,2,329,Random Noise,4
15,5,0,359,Random Noise,4
16,5,1,328,Random Noise,4
17,5,2,313,Random Noise,4
0,0,0,315,Random Noise,5
1,0,1,362,Random Noise,5
2,0,2,323,Random Noise,5
3,1,0,345,Random Noise,5
4,1,1,327,Random Noise,5
5,1,2,328,Random Noise,5
6,2,0,322,Random Noise,5
7,2,1,326,Random Noise,5
8,2,2,352,Random Noise,5
9,3,0,322,Random Noise,5
10,3,1,331,Random Noise,5
11,3,2,347,Random Noise,5
12,4,0,337,Random Noise,5
13,4,1,333,Random Noise,5
14,4,2,330,Random Noise,5
15,5,0,359,Random Noise,5
16,5,1,321,Random Noise,5
17,5,2,320,Random Noise,5
0,0,0,342,Random Noise,6
1,0,1,333,Random Noise,6
2,0,2,325,Random Noise,6
3,1,0,330,Random Noise,6
4,1,1,331,Random Noise,6
5,1,2,339,Random Noise,6
6,2,0,345,Random Noise,6
7,2,1,329,Random Noise,6
8,2,2,326,Random Noise,6
9,3,0,326,Random Noise,6
10,3,1,335,Random Noise,6
11,3,2,339,Random Noise,6
12,4,0,328,Random Noise,6
13,4,1,335,Random Noise,6
14,4,2,337,Random Noise,6
15,5,0,329,Random Noise,6
16,5,1,337,Random Noise,6
17,5,2,334,Random Noise,6
0,0,0,313,Random Noise,7
1,0,1,319,Random Noise,7
2,0,2,368,Random Noise,7
3,1,0,352,Random Noise,7
4,1,1,345,Random Noise,7
5,1,2,303,Random Noise,7
6,2,0,316,Random Noise,7
7,2,1,342,Random Noise,7
8,2,2,342,Random Noise,7
9,3,0,333,Random Noise,7
10,3,1,317,Random Noise,7
11,3,2,350,Random Noise,7
12,4,0,337,Random Noise,7
13,4,1,354,Random Noise,7
14,4,2,309,Random Noise,7
15,5,0,349,Random Noise,7
16,5,1,323,Random Noise,7
17,5,2,328,Random Noise,7
0,0,0,330,Random Noise,8
1,0,1,333,Random Noise,8
2,0,2,337,Random Noise,8
3,1,0,325,Random Noise,8
4,1,1,309,Random Noise,8
5,1,2,366,Random Noise,8
6,2,0,320,Random Noise,8
7,2,1,342,Random Noise,8
8,2,2,338,Random Noise,8
9,3,0,335,Random Noise,8
10,3,1,318,Random Noise,8
11,3,2,347,Random Noise,8
12,4,0,337,Random Noise,8
13,4,1,329,Random Noise,8
14,4,2,334,Random Noise,8
15,5,0,353,Random Noise,8
16,5,1,369,Random Noise,8
17,5,2,278,Random Noise,8
0,0,0,350,Random Noise,9
1,0,1,327,Random Noise,9
2,0,2,323,Random Noise,9
3,1,0,337,Random Noise,9
4,1,1,344,Random Noise,9
5,1,2,319,Random Noise,9
6,2,0,314,Random Noise,9
7,2,1,324,Random Noise,9
8,2,2,362,Random Noise,9
9,3,0,344,Random Noise,9
10,3,1,329,Random Noise,9
11,3,2,327,Random Noise,9
12,4,0,314,Random Noise,9
13,4,1,357,Random Noise,9
14,4,2,329,Random Noise,9
15,5,0,341,Random Noise,9
16,5,1,319,Random Noise,9
17,5,2,340,Random Noise,9
0,0,0,353,Random Noise,0
1,0,1,308,Random Noise,0
2,0,2,339,Random Noise,0
3,1,0,331,Random Noise,0
4,1,1,326,Random Noise,0
5,1,2,343,Random Noise,0
6,2,0,325,Random Noise,0
7,2,1,336,Random Noise,0
8,2,2,339,Random Noise,0
9,3,0,345,Random Noise,0
10,3,1,333,Random Noise,0
11,3,2,322,Random Noise,0
12,4,0,329,Random Noise,0
13,4,1,340,Random Noise,0
14,4,2,331,Random Noise,0
15,5,0,317,Random Noise,0
16,5,1,357,Random Noise,0
17,5,2,326,Random Noise,0
0,0,0,350,Random Noise,1
1,0,1,315,Random Noise,1
2,0,2,335,Random Noise,1
3,1,0,328,Random Noise,1
4,1,1,325,Random Noise,1
5,1,2,347,Random Noise,1
6,2,0,350,Random Noise,1
7,2,1,323,Random Noise,1
8,2,2,327,Random Noise,1
9,3,0,342,Random Noise,1
10,3,1,326,Random Noise,1
11,3,2,332,Random Noise,1
12,4,0,334,Random Noise,1
13,4,1,344,Random Noise,1
14,4,2,322,Random Noise,1
15,5,0,296,Random Noise,1
16,5,1,367,Random Noise,1
17,5,2,337,Random Noise,1
0,0,0,305,Random Noise,2
1,0,1,338,Random Noise,2
2,0,2,357,Random Noise,2
3,1,0,330,Random Noise,2
4,1,1,339,Random Noise,2
5,1,2,331,Random Noise,2
6,2,0,376,Random Noise,2
7,2,1,314,Random Noise,2
8,2,2,310,Random Noise,2
9,3,0,338,Random Noise,2
10,3,1,339,Random Noise,2
11,3,2,323,Random Noise,2
12,4,0,309,Random Noise,2
13,4,1,355,Random Noise,2
14,4,2,336,Random Noise,2
15,5,0,342,Random Noise,2
16,5,1,315,Random Noise,2
17,5,2,343,Random Noise,2
0,0,0,323,Random Noise,3
1,0,1,332,Random Noise,3
2,0,2,345,Random Noise,3
3,1,0,339,Random Noise,3
4,1,1,348,Random Noise,3
5,1,2,313,Random Noise,3
6,2,0,326,Random Noise,3
7,2,1,347,Random Noise,3
8,2,2,327,Random Noise,3
9,3,0,335,Random Noise,3
10,3,1,334,Random Noise,3
11,3,2,331,Random Noise,3
12,4,0,365,Random Noise,3
13,4,1,313,Random Noise,3
14,4,2,322,Random Noise,3
15,5,0,312,Random Noise,3
16,5,1,326,Random Noise,3
17,5,2,362,Random Noise,3
0,0,0,327,Random Noise,4
1,0,1,321,Random Noise,4
2,0,2,352,Random Noise,4
3,1,0,344,Random Noise,4
4,1,1,323,Random Noise,4
5,1,2,333,Random Noise,4
6,2,0,335,Random Noise,4
7,2,1,355,Random Noise,4
8,2,2,310,Random Noise,4
9,3,0,347,Random Noise,4
10,3,1,319,Random Noise,4
11,3,2,334,Random Noise,4
12,4,0,309,Random Noise,4
13,4,1,356,Random Noise,4
14,4,2,335,Random Noise,4
15,5,0,338,Random Noise,4
16,5,1,326,Random Noise,4
17,5,2,336,Random Noise,4
0,0,0,329,Random Noise,5
1,0,1,320,Random Noise,5
2,0,2,351,Random Noise,5
3,1,0,323,Random Noise,5
4,1,1,336,Random Noise,5
5,1,2,341,Random Noise,5
6,2,0,329,Random Noise,5
7,2,1,345,Random Noise,5
8,2,2,326,Random Noise,5
9,3,0,356,Random Noise,5
10,3,1,324,Random Noise,5
11,3,2,320,Random Noise,5
12,4,0,329,Random Noise,5
13,4,1,337,Random Noise,5
14,4,2,334,Random Noise,5
15,5,0,334,Random Noise,5
16,5,1,338,Random Noise,5
17,5,2,328,Random Noise,5
0,0,0,325,Random Noise,6
1,0,1,337,Random Noise,6
2,0,2,338,Random Noise,6
3,1,0,334,Random Noise,6
4,1,1,347,Random Noise,6
5,1,2,319,Random Noise,6
6,2,0,331,Random Noise,6
7,2,1,349,Random Noise,6
8,2,2,320,Random Noise,6
9,3,0,344,Random Noise,6
10,3,1,316,Random Noise,6
11,3,2,340,Random Noise,6
12,4,0,337,Random Noise,6
13,4,1,317,Random Noise,6
14,4,2,346,Random Noise,6
15,5,0,329,Random Noise,6
16,5,1,334,Random Noise,6
17,5,2,337,Random Noise,6
0,0,0,335,Random Noise,7
1,0,1,348,Random Noise,7
2,0,2,317,Random Noise,7
3,1,0,339,Random Noise,7
4,1,1,308,Random Noise,7
5,1,2,353,Random Noise,7
6,2,0,326,Random Noise,7
7,2,1,327,Random Noise,7
8,2,2,347,Random Noise,7
9,3,0,331,Random Noise,7
10,3,1,348,Random Noise,7
11,3,2,321,Random Noise,7
12,4,0,340,Random Noise,7
13,4,1,330,Random Noise,7
14,4,2,330,Random Noise,7
15,5,0,329,Random Noise,7
16,5,1,339,Random Noise,7
17,5,2,332,Random Noise,7
0,0,0,336,Random Noise,8
1,0,1,339,Random Noise,8
2,0,2,325,Random Noise,8
3,1,0,320,Random Noise,8
4,1,1,340,Random Noise,8
5,1,2,340,Random Noise,8
6,2,0,327,Random Noise,8
7,2,1,324,Random Noise,8
8,2,2,349,Random Noise,8
9,3,0,356,Random Noise,8
10,3,1,334,Random Noise,8
11,3,2,310,Random Noise,8
12,4,0,313,Random Noise,8
13,4,1,338,Random Noise,8
14,4,2,349,Random Noise,8
15,5,0,348,Random Noise,8
16,5,1,325,Random Noise,8
17,5,2,327,Random Noise,8
0,0,0,353,Random Noise,9
1,0,1,328,Random Noise,9
2,0,2,319,Random Noise,9
3,1,0,314,Random Noise,9
4,1,1,340,Random Noise,9
5,1,2,346,Random Noise,9
6,2,0,349,Random Noise,9
7,2,1,329,Random Noise,9
8,2,2,322,Random Noise,9
9,3,0,330,Random Noise,9
10,3,1,328,Random Noise,9
11,3,2,342,Random Noise,9
12,4,0,344,Random Noise,9
13,4,1,329,Random Noise,9
14,4,2,327,Random Noise,9
15,5,0,310,Random Noise,9
16,5,1,346,Random Noise,9
17,5,2,344,Random Noise,9
0,0,0,340,Random Noise,0
1,0,1,320,Random Noise,0
2,0,2,340,Random Noise,0
3,1,0,338,Random Noise,0
4,1,1,358,Random Noise,0
5,1,2,304,Random Noise,0
6,2,0,332,Random Noise,0
7,2,1,326,Random Noise,0
8,2,2,342,Random Noise,0
9,3,0,326,Random Noise,0
10,3,1,343,Random Noise,0
11,3,2,331,Random Noise,0
12,4,0,333,Random Noise,0
13,4,1,321,Random Noise,0
14,4,2,346,Random Noise,0
15,5,0,331,Random Noise,0
16,5,1,332,Random Noise,0
17,5,2,337,Random Noise,0
0,0,0,323,Random Noise,1
1,0,1,330,Random Noise,1
2,0,2,347,Random Noise,1
3,1,0,332,Random Noise,1
4,1,1,335,Random Noise,1
5,1,2,333,Random Noise,1
6,2,0,328,Random Noise,1
7,2,1,338,Random Noise,1
8,2,2,334,Random Noise,1
9,3,0,355,Random Noise,1
10,3,1,330,Random Noise,1
11,3,2,315,Random Noise,1
12,4,0,326,Random Noise,1
13,4,1,335,Random Noise,1
14,4,2,339,Random Noise,1
15,5,0,336,Random Noise,1
16,5,1,332,Random Noise,1
17,5,2,332,Random Noise,1
0,0,0,329,Random Noise,2
1,0,1,342,Random Noise,2
2,0,2,329,Random Noise,2
3,1,0,335,Random Noise,2
4,1,1,343,Random Noise,2
5,1,2,322,Random Noise,2
6,2,0,357,Random Noise,2
7,2,1,321,Random Noise,2
8,2,2,322,Random Noise,2
9,3,0,319,Random Noise,2
10,3,1,352,Random Noise,2
11,3,2,329,Random Noise,2
12,4,0,317,Random Noise,2
13,4,1,317,Random Noise,2
14,4,2,366,Random Noise,2
15,5,0,343,Random Noise,2
16,5,1,325,Random Noise,2
17,5,2,332,Random Noise,2
0,0,0,362,Random Noise,3
1,0,1,307,Random Noise,3
2,0,2,331,Random Noise,3
3,1,0,301,Random Noise,3
4,1,1,350,Random Noise,3
5,1,2,349,Random Noise,3
6,2,0,340,Random Noise,3
7,2,1,339,Random Noise,3
8,2,2,321,Random Noise,3
9,3,0,317,Random Noise,3
10,3,1,323,Random Noise,3
11,3,2,360,Random Noise,3
12,4,0,338,Random Noise,3
13,4,1,340,Random Noise,3
14,4,2,322,Random Noise,3
15,5,0,342,Random Noise,3
16,5,1,341,Random Noise,3
17,5,2,317,Random Noise,3
0,0,0,321,Random Noise,4
1,0,1,352,Random Noise,4
2,0,2,327,Random Noise,4
3,1,0,323,Random Noise,4
4,1,1,324,Random Noise,4
5,1,2,353,Random Noise,4
6,2,0,334,Random Noise,4
7,2,1,331,Random Noise,4
8,2,2,335,Random Noise,4
9,3,0,354,Random Noise,4
10,3,1,322,Random Noise,4
11,3,2,324,Random Noise,4
12,4,0,340,Random Noise,4
13,4,1,331,Random Noise,4
14,4,2,329,Random Noise,4
15,5,0,328,Random Noise,4
16,5,1,340,Random Noise,4
17,5,2,332,Random Noise,4
0,0,0,325,Random Noise,5
1,0,1,333,Random Noise,5
2,0,2,342,Random Noise,5
3,1,0,332,Random Noise,5
4,1,1,339,Random Noise,5
5,1,2,329,Random Noise,5
6,2,0,336,Random Noise,5
7,2,1,334,Random Noise,5
8,2,2,330,Random Noise,5
9,3,0,316,Random Noise,5
10,3,1,343,Random Noise,5
11,3,2,341,Random Noise,5
12,4,0,340,Random Noise,5
13,4,1,320,Random Noise,5
14,4,2,340,Random Noise,5
15,5,0,351,Random Noise,5
16,5,1,331,Random Noise,5
17,5,2,318,Random Noise,5
0,0,0,322,Random Noise,6
1,0,1,349,Random Noise,6
2,0,2,329,Random Noise,6
3,1,0,343,Random Noise,6
4,1,1,338,Random Noise,6
5,1,2,319,Random Noise,6
6,2,0,335,Random Noise,6
7,2,1,318,Random Noise,6
8,2,2,347,Random Noise,6
9,3,0,321,Random Noise,6
10,3,1,330,Random Noise,6
11,3,2,349,Random Noise,6
12,4,0,340,Random Noise,6
13,4,1,337,Random Noise,6
14,4,2,323,Random Noise,6
15,5,0,339,Random Noise,6
16,5,1,328,Random Noise,6
17,5,2,333,Random Noise,6
0,0,0,337,Random Noise,7
1,0,1,346,Random Noise,7
2,0,2,317,Random Noise,7
3,1,0,344,Random Noise,7
4,1,1,338,Random Noise,7
5,1,2,318,Random Noise,7
6,2,0,314,Random Noise,7
7,2,1,344,Random Noise,7
8,2,2,342,Random Noise,7
9,3,0,320,Random Noise,7
10,3,1,324,Random Noise,7
11,3,2,356,Random Noise,7
12,4,0,329,Random Noise,7
13,4,1,355,Random Noise,7
14,4,2,316,Random Noise,7
15,5,0,356,Random Noise,7
16,5,1,293,Random Noise,7
17,5,2,351,Random Noise,7
0,0,0,340,Random Noise,8
1,0,1,319,Random Noise,8
2,0,2,341,Random Noise,8
3,1,0,353,Random Noise,8
4,1,1,351,Random Noise,8
5,1,2,296,Random Noise,8
6,2,0,328,Random Noise,8
7,2,1,329,Random Noise,8
8,2,2,343,Random Noise,8
9,3,0,331,Random Noise,8
10,3,1,325,Random Noise,8
11,3,2,344,Random Noise,8
12,4,0,311,Random Noise,8
13,4,1,353,Random Noise,8
14,4,2,336,Random Noise,8
15,5,0,337,Random Noise,8
16,5,1,323,Random Noise,8
17,5,2,340,Random Noise,8
0,0,0,333,Random Noise,9
1,0,1,327,Random Noise,9
2,0,2,340,Random Noise,9
3,1,0,312,Random Noise,9
4,1,1,355,Random Noise,9
5,1,2,333,Random Noise,9
6,2,0,346,Random Noise,9
7,2,1,334,Random Noise,9
8,2,2,320,Random Noise,9
9,3,0,353,Random Noise,9
10,3,1,304,Random Noise,9
11,3,2,343,Random Noise,9
12,4,0,327,Random Noise,9
13,4,1,333,Random Noise,9
14,4,2,340,Random Noise,9
15,5,0,329,Random Noise,9
16,5,1,347,Random Noise,9
17,5,2,324,Random Noise,9
0,0,0,335,Random Noise,0
1,0,1,339,Random Noise,0
2,0,2,326,Random Noise,0
3,1,0,334,Random Noise,0
4,1,1,321,Random Noise,0
5,1,2,345,Random Noise,0
6,2,0,325,Random Noise,0
7,2,1,348,Random Noise,0
8,2,2,327,Random Noise,0
9,3,0,350,Random Noise,0
10,3,1,340,Random Noise,0
11,3,2,310,Random Noise,0
12,4,0,344,Random Noise,0
13,4,1,324,Random Noise,0
14,4,2,332,Random Noise,0
15,5,0,312,Random Noise,0
16,5,1,328,Random Noise,0
17,5,2,360,Random Noise,0
0,0,0,335,Random Noise,1
1,0,1,336,Random Noise,1
2,0,2,329,Random Noise,1
3,1,0,311,Random Noise,1
4,1,1,343,Random Noise,1
5,1,2,346,Random Noise,1
6,2,0,353,Random Noise,1
7,2,1,318,Random Noise,1
8,2,2,329,Random Noise,1
9,3,0,339,Random Noise,1
10,3,1,328,Random Noise,1
11,3,2,333,Random Noise,1
12,4,0,334,Random Noise,1
13,4,1,345,Random Noise,1
14,4,2,321,Random Noise,1
15,5,0,328,Random Noise,1
16,5,1,330,Random Noise,1
17,5,2,342,Random Noise,1
0,0,0,334,Random Noise,2
1,0,1,305,Random Noise,2
2,0,2,361,Random Noise,2
3,1,0,344,Random Noise,2
4,1,1,313,Random Noise,2
5,1,2,343,Random Noise,2
6,2,0,326,Random Noise,2
7,2,1,340,Random Noise,2
8,2,2,334,Random Noise,2
9,3,0,327,Random Noise,2
10,3,1,347,Random Noise,2
11,3,2,326,Random Noise,2
12,4,0,333,Random Noise,2
13,4,1,348,Random Noise,2
14,4,2,319,Random Noise,2
15,5,0,336,Random Noise,2
16,5,1,347,Random Noise,2
17,5,2,317,Random Noise,2
0,0,0,348,Random Noise,3
1,0,1,335,Random Noise,3
2,0,2,317,Random Noise,3
3,1,0,309,Random Noise,3
4,1,1,317,Random Noise,3
5,1,2,374,Random Noise,3
6,2,0,328,Random Noise,3
7,2,1,357,Random Noise,3
8,2,2,315,Random Noise,3
9,3,0,341,Random Noise,3
10,3,1,332,Random Noise,3
11,3,2,327,Random Noise,3
12,4,0,343,Random Noise,3
13,4,1,344,Random Noise,3
14,4,2,313,Random Noise,3
15,5,0,331,Random Noise,3
16,5,1,315,Random Noise,3
17,5,2,354,Random Noise,3
0,0,0,326,Random Noise,4
1,0,1,353,Random Noise,4
2,0,2,321,Random Noise,4
3,1,0,360,Random Noise,4
4,1,1,313,Random Noise,4
5,1,2,327,Random Noise,4
6,2,0,343,Random Noise,4
7,2,1,329,Random Noise,4
8,2,2,328,Random Noise,4
9,3,0,333,Random Noise,4
10,3,1,339,Random Noise,4
11,3,2,328,Random Noise,4
12,4,0,325,Random Noise,4
13,4,1,330,Random Noise,4
14,4,2,345,Random Noise,4
15,5,0,313,Random Noise,4
16,5,1,336,Random Noise,4
17,5,2,351,Random Noise,4
0,0,0,306,Random Noise,5
1,0,1,338,Random Noise,5
2,0,2,356,Random Noise,5
3,1,0,329,Random Noise,5
4,1,1,340,Random Noise,5
5,1,2,331,Random Noise,5
6,2,0,335,Random Noise,5
7,2,1,353,Random Noise,5
8,2,2,312,Random Noise,5
9,3,0,336,Random Noise,5
10,3,1,330,Random Noise,5
11,3,2,334,Random Noise,5
12,4,0,330,Random Noise,5
13,4,1,325,Random Noise,5
14,4,2,345,Random Noise,5
15,5,0,364,Random Noise,5
16,5,1,314,Random Noise,5
17,5,2,322,Random Noise,5
0,0,0,314,Random Noise,6
1,0,1,338,Random Noise,6
2,0,2,348,Random Noise,6
3,1,0,321,Random Noise,6
4,1,1,353,Random Noise,6
5,1,2,326,Random Noise,6
6,2,0,365,Random Noise,6
7,2,1,302,Random Noise,6
8,2,2,333,Random Noise,6
9,3,0,345,Random Noise,6
10,3,1,336,Random Noise,6
11,3,2,319,Random Noise,6
12,4,0,327,Random Noise,6
13,4,1,338,Random Noise,6
14,4,2,335,Random Noise,6
15,5,0,328,Random Noise,6
16,5,1,333,Random Noise,6
17,5,2,339,Random Noise,6
0,0,0,332,Random Noise,7
1,0,1,323,Random Noise,7
2,0,2,345,Random Noise,7
3,1,0,315,Random Noise,7
4,1,1,341,Random Noise,7
5,1,2,344,Random Noise,7
6,2,0,330,Random Noise,7
7,2,1,334,Random Noise,7
8,2,2,336,Random Noise,7
9,3,0,352,Random Noise,7
10,3,1,326,Random Noise,7
11,3,2,322,Random Noise,7
12,4,0,347,Random Noise,7
13,4,1,338,Random Noise,7
14,4,2,315,Random Noise,7
15,5,0,324,Random Noise,7
16,5,1,338,Random Noise,7
17,5,2,338,Random Noise,7
0,0,0,337,Random Noise,8
1,0,1,350,Random Noise,8
2,0,2,313,Random Noise,8
3,1,0,317,Random Noise,8
4,1,1,343,Random Noise,8
5,1,2,340,Random Noise,8
6,2,0,339,Random Noise,8
7,2,1,322,Random Noise,8
8,2,2,339,Random Noise,8
