,id,Network,score
0,No Extinction,4,0.8759999999999997
0,No Extinction,5,0.7919999999999999
0,No Extinction,6,0.8173333333333332
0,No Extinction,7,1.1768888888888889
0,No Extinction,8,0.6591111111111111
0,No Extinction,9,0.7497777777777777
0,No Extinction,0,0.8806666666666665
0,No Extinction,1,0.33066666666666666
0,No Extinction,2,0.6633333333333334
0,No Extinction,3,0.5786666666666667
0,No Extinction,4,0.8619999999999999
0,No Extinction,5,0.7853333333333332
0,No Extinction,6,0.7926666666666667
0,No Extinction,7,1.178222222222222
0,No Extinction,8,0.7819999999999999
0,No Extinction,9,0.6840000000000002
0,No Extinction,0,0.8675555555555556
0,No Extinction,1,0.4444444444444445
0,No Extinction,2,0.7313333333333334
0,No Extinction,3,0.6460000000000001
0,No Extinction,4,0.9293333333333331
0,No Extinction,5,0.8182222222222222
0,No Extinction,6,0.6139999999999999
0,No Extinction,7,1.1933333333333331
0,No Extinction,8,0.7193333333333334
0,No Extinction,9,0.7373333333333333
0,No Extinction,0,0.9368888888888888
0,No Extinction,1,0.4599999999999999
0,No Extinction,2,0.7240000000000002
0,No Extinction,3,0.7586666666666666
0,No Extinction,4,0.7633333333333332
0,No Extinction,5,0.7773333333333334
0,No Extinction,6,0.7733333333333333
0,No Extinction,7,1.153333333333333
0,No Extinction,8,0.6193333333333333
0,No Extinction,9,0.6173333333333333
